ประเทศคู่ค้าสำคัญของไทย,,,,,,,,,,,,,,,
อันดับ,ประเทศ,2562 (ม.ค.-เม.ย.),,,,,,,2562 (ม.ค.-เม.ย.),,,,,,
,,มูลค่า : ล้านบาท,,,,,,,อัตราการขยายตัว (%),,,,,,
,,มูลค่าการค้า,การส่งออก,,การนำเข้า,,ดุลการค้า,,มูลค่าการค้า,,การส่งออก,,การนำเข้า,ดุลการค้า,
1,  จีน,"790,833",,"288,159",,"502,674",,"-214,515",,-2.65,,-8.07,0.75,,15.67
2,  ญี่ปุ่น,"617,692",,"255,311",,"362,381",,"-107,070",,-1.30,,-1.31,-1.29,,-1.25
3,  สหรัฐอเมริกา,"571,670",,"344,889",,"226,780",,"118,109",,31.29,,25.78,40.68,,4.52
4,  มาเลเซีย,"260,326",,"113,070",,"147,256",,"-34,186",,-0.16,,-1.88,1.20,,12.93
5,  เวียดนาม,"189,182",,"130,095",,"59,087",,"71,009",,4.30,,7.46,-2.04,,16.89
6,  อินโดนีเซีย,"174,699",,"94,656",,"80,043",,"14,613",,-8.59,,-9.54,-7.44,,-19.56
7,  สิงคโปร์,"158,015",,"80,409",,"77,606",,"2,803",,-4.67,,-8.96,0.23,,-74.25
8,  ออสเตรเลีย,"148,404",,"101,388",,"47,016",,"54,372",,-10.77,,-10.16,-12.06,,-8.44
9,  เกาหลีใต้,"145,843",,"49,713",,"96,130",,"-46,417",,-1.02,,-4.00,0.60,,6.04
10,  ฮ่องกง,"144,977",,"112,661",,"32,316",,"80,345",,-13.77,,-10.73,-22.91,,-4.67
11,  อินเดีย,"135,698",,"83,590",,"52,108",,"31,482",,4.98,,2.40,9.41,,-7.43
12,  สหรัฐอาหรับเอมิเรตส์,"127,284",,"25,437",,"101,847",,"-76,411",,-2.82,,-11.63,-0.34,,4.08
13,  ไต้หวัน,"125,768",,"37,039",,"88,728",,"-51,689",,-4.25,,-11.25,-0.98,,7.97
14,  เยอรมนี,"117,116",,"48,530",,"68,585",,"-20,055",,-6.40,,-8.89,-4.55,,7.90
15,  ฟิลิปปินส์,"104,032",,"69,920",,"34,113",,"35,807",,-7.52,,-9.16,-3.98,,-13.60
รวม 15 ประเทศ,,"3,811,538",,"1,834,869",,"1,976,669",,"-141,801",,0.74,,-0.76,2.17,,-65.14
อื่น ๆ,,"1,291,621",,"705,954",,"585,667",,"120,287",,-7.08,,-4.59,-9.91,,33.93
รวมทั้งสิ้น,,"5,103,159",,"2,540,822",,"2,562,336",,"-21,514",,-1.3600,,-1.85,-0.87,,-645.72
  ที่มา : ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร สำนักงานปลัดกระทรวงพาณิชย์ โดยความร่วมมือจากกรมศุลกากร,,,,,,,,,,,,,,,
