โครงสร้างสินค้าออกของไทย ปี 2535 - 2562(ม.ค. - พ.ค.),,,,,,,,,,,,,,,,,,,
มูลค่า : ล้านบาท,,,,,,,,,,,,,,,,,,,
ปี,รวม,,,,สินค้าเกษตร,,,สินค้าอุตสาหกรรมการเกษตร                                                                                                ,,,สินค้าอุตสาหกรรม                                                                                                        ,,,สินค้าแร่และเชื้อเพลิง                                                                                                  ,,,อื่น ๆ,,
,มูลค่า,,ขยายตัว,สัดส่วน,มูลค่า,ขยายตัว,สัดส่วน,มูลค่า,ขยายตัว,สัดส่วน,มูลค่า,ขยายตัว,สัดส่วน,มูลค่า,ขยายตัว,สัดส่วน,มูลค่า,ขยายตัว,สัดส่วน
2535 - 2561,,,,,,,,,,,,,,,,,,,
2535,"824,643.29",,13.67,100.00,"169,774.93",12.25,20.59,"82,121.16",7.41,9.96,"552,250.32",15.48,66.97,"11,895.29",9.48,1.44,"8,601.59",-0.78,1.04
2536,"940,862.59",,14.09,100.00,"163,311.70",-3.81,17.36,"78,172.08",-4.81,8.31,"671,879.67",21.66,71.41,"13,483.39",13.35,1.43,"14,015.75",62.94,1.49
2537,"1,137,601.65",,20.91,100.00,"193,766.24",18.65,17.03,"95,612.58",22.31,8.40,"827,899.12",23.22,72.78,"12,477.68",-7.46,1.10,"7,846.04",-44.02,0.69
2538,"1,406,310.12",,23.62,100.00,"227,829.43",17.58,16.20,"114,334.86",19.58,8.13,"1,037,861.08",25.36,73.80,"14,287.59",14.51,1.02,"11,997.15",52.91,0.85
2539,"1,411,039.33",,0.34,100.00,"226,897.11",-0.41,16.08,"126,260.14",10.43,8.95,"1,013,492.78",-2.35,71.83,"28,248.70",97.71,2.00,"16,140.62",34.54,1.14
2540,"1,806,681.98",,28.04,100.00,"251,637.51",10.90,13.93,"150,939.24",19.55,8.35,"1,305,600.97",28.82,72.27,"50,449.48",78.59,2.79,"48,054.78",197.73,2.66
2541,"2,248,089.44",,24.43,100.00,"294,761.70",17.14,13.11,"176,189.17",16.73,7.84,"1,660,795.30",27.21,73.88,"44,273.45",-12.24,1.97,"72,069.81",49.97,3.21
2542,"2,214,248.69",,-1.51,100.00,"265,423.89",-9.95,11.99,"172,437.61",-2.13,7.79,"1,665,075.94",0.26,75.20,"47,947.87",8.30,2.17,"63,363.38",-12.08,2.86
2543,"2,768,064.76",,25.01,100.00,"291,956.12",10.00,10.55,"187,698.56",8.85,6.78,"2,115,413.97",27.05,76.42,"97,398.98",103.14,3.52,"75,597.13",19.31,2.73
2544,"2,884,703.89",,4.21,100.00,"312,527.81",7.05,10.83,"213,492.46",13.74,7.40,"2,171,481.93",2.65,75.28,"90,699.83",-6.88,3.14,"96,501.87",27.65,3.35
2545,"2,923,941.39",,1.36,100.00,"305,417.05",-2.28,10.45,"218,941.60",2.55,7.49,"2,226,375.60",2.53,76.14,"86,242.78",-4.91,2.95,"86,964.35",-9.88,2.97
2546,"3,325,630.12",,13.74,100.00,"365,037.37",19.52,10.98,"247,582.44",13.08,7.44,"2,542,797.18",14.21,76.46,"95,635.18",10.89,2.88,"74,577.95",-14.24,2.24
2547,"3,873,689.56",,16.48,100.00,"414,522.05",13.56,10.70,"255,650.24",3.26,6.60,"2,994,069.19",17.75,77.29,"148,086.55",54.85,3.82,"61,361.52",-17.72,1.58
2548,"4,438,691.03",,14.59,100.00,"418,068.93",0.86,9.42,"280,160.72",9.59,6.31,"3,470,144.22",15.90,78.18,"206,894.26",39.71,4.66,"63,422.91",3.36,1.43
2549,"4,937,372.24",,11.23,100.00,"499,674.15",19.52,10.12,"303,069.70",8.18,6.14,"3,808,882.20",9.76,77.14,"262,553.60",26.90,5.32,"63,192.59",-0.36,1.28
2550,"5,302,119.22",,7.39,100.00,"522,531.78",4.57,9.86,"327,300.13",8.00,6.17,"4,165,780.16",9.37,78.57,"246,967.60",-5.94,4.66,"39,539.56",-37.43,0.75
2551,"5,851,371.14",,10.36,100.00,"662,228.94",26.73,11.32,"385,771.19",17.86,6.59,"4,417,833.90",6.05,75.50,"385,526.13",56.10,6.59,10.98,-99.97,0.00
2552,"5,194,596.73",,-11.22,100.00,"559,458.63",-15.52,10.77,"384,299.32",-0.38,7.40,"3,976,793.17",-9.98,76.56,"274,045.61",-28.92,5.28,0.00,-100.00,0.00
2553,"6,113,335.52",,17.69,100.00,"679,718.64",21.50,11.12,"419,318.67",9.11,6.86,"4,697,001.70",18.11,76.83,"317,296.51",15.78,5.19,0.00,,0.00
2554,"6,707,989.46",,9.73,100.00,"875,661.10",28.83,13.05,"526,749.93",25.62,7.85,"4,906,495.05",4.46,73.14,"399,083.38",25.78,5.95,0.00,,0.00
2555,"7,077,762.15",,5.51,100.00,"724,293.09",-17.29,10.23,"560,190.00",6.35,7.91,"5,320,016.82",8.43,75.17,"473,260.40",18.59,6.69,1.84,,0.00
2556,"6,909,543.90",,-2.38,100.00,"687,562.30",-5.07,9.95,"521,670.70",-6.88,7.55,"5,254,109.84",-1.24,76.04,"446,201.05",-5.72,6.46,0.00,-100.00,0.00
2557,"7,311,089.00",,5.81,100.00,"719,099.18",4.59,9.84,"546,574.76",4.77,7.48,"5,644,724.74",7.43,77.21,"400,690.31",-10.20,5.48,0.00,,0.00
2558,"7,225,722.80",,-1.17,100.00,"679,760.88",-5.47,9.41,"560,543.95",2.56,7.76,"5,685,448.66",0.72,78.68,"299,969.31",-25.14,4.15,0.00,,0.00
2559,"7,550,704.07",,4.50,100.00,"682,988.31",0.47,9.05,"602,918.72",7.56,7.98,"6,029,996.98",6.06,79.86,"234,755.58",-21.74,3.11,44.48,,0.00
2560,"8,006,265.18",,6.03,100.00,"777,083.57",13.78,9.71,"577,298.58",-4.25,7.21,"6,359,186.04",5.46,79.43,"292,696.99",24.68,3.66,0.00,-100.00,0.00
2561,"8,108,299.77",,1.27,100.00,"744,433.46",-4.20,9.18,"584,834.42",1.31,7.21,"6,422,726.58",1.00,79.21,"356,305.31",21.73,4.39,0.00,,0.00
2562,,,,,,,,,,,,,,,,,,,
ม.ค. - พ.ค.,"3,204,469.53",,-2.68,100.00,"302,419.29",-0.10,9.44,"236,775.53",-0.75,7.39,"2,544,061.11",-2.78,79.39,"121,213.60",-10.03,3.78,0.00,,0.00
  ที่มา : ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร สำนักงานปลัดกระทรวงพาณิชย์ โดยความร่วมมือจากกรมศุลกากร,,,,,,,,,,,,,,,,,,,
